"replication","tau","estimator","window","window_left","window_right","any_accepted","all_accepted","left_endpoint_accepted","right_endpoint_accepted","n_accepted_gridpoints","n_accepted_components_grid","min_accepted_alpha","max_accepted_alpha","alpha_hat_grid","min_W","n_alpha_success_full","n_alpha_failure_full","any_accept_left_outer","any_accept_right_outer","all_accept_left_outer","all_accept_right_outer","W_minus40","W_minus30","W_30","W_40","left_tail_label","right_tail_label"
2,0.9,"Oracle-GMM","[-5,5]",-5,5,TRUE,FALSE,TRUE,TRUE,47,3,-5,5,3,0.0412325203425919,401,0,TRUE,TRUE,FALSE,TRUE,6.05003609586942,6.16981690085172,1.4015596532546,0.814032086154924,"tail unresolved within search range","tail unresolved within search range"
2,0.9,"Oracle-GMM","[-10,10]",-10,10,TRUE,FALSE,FALSE,TRUE,87,7,-9.8,10,3,0.0412325203425919,401,0,TRUE,TRUE,FALSE,TRUE,6.05003609586942,6.16981690085172,1.4015596532546,0.814032086154924,"tail unresolved within search range","tail unresolved within search range"
2,0.9,"Oracle-GMM","[-20,20]",-20,20,TRUE,FALSE,FALSE,TRUE,139,9,-12,20,3,0.0412325203425919,401,0,TRUE,TRUE,FALSE,TRUE,6.05003609586942,6.16981690085172,1.4015596532546,0.814032086154924,"tail unresolved within search range","tail unresolved within search range"
2,0.9,"Oracle-GMM","[-40,40]",-40,40,TRUE,FALSE,FALSE,TRUE,272,26,-39.8,40,3,0.0412325203425919,401,0,TRUE,TRUE,FALSE,TRUE,6.05003609586942,6.16981690085172,1.4015596532546,0.814032086154924,"tail unresolved within search range","tail unresolved within search range"
2,0.9,"Full-GMM","[-3,5]",-3,5,TRUE,FALSE,TRUE,TRUE,39,3,-3,5,8.2,0.00412620072588973,401,0,TRUE,TRUE,FALSE,FALSE,1.65127161646693,0.692073110249378,1.39376125383063,0.377815388503738,"tail unresolved within search range","tail unresolved within search range"
2,0.9,"Full-GMM","[-5,5]",-5,5,TRUE,FALSE,TRUE,TRUE,49,3,-5,5,8.2,0.00412620072588973,401,0,TRUE,TRUE,FALSE,FALSE,1.65127161646693,0.692073110249378,1.39376125383063,0.377815388503738,"tail unresolved within search range","tail unresolved within search range"
2,0.9,"Full-GMM","[-10,10]",-10,10,TRUE,FALSE,TRUE,TRUE,94,8,-10,10,8.2,0.00412620072588973,401,0,TRUE,TRUE,FALSE,FALSE,1.65127161646693,0.692073110249378,1.39376125383063,0.377815388503738,"tail unresolved within search range","tail unresolved within search range"
2,0.9,"Full-GMM","[-20,20]",-20,20,TRUE,FALSE,TRUE,TRUE,189,13,-20,20,8.2,0.00412620072588973,401,0,TRUE,TRUE,FALSE,FALSE,1.65127161646693,0.692073110249378,1.39376125383063,0.377815388503738,"tail unresolved within search range","tail unresolved within search range"
2,0.9,"Full-GMM","[-40,40]",-40,40,TRUE,FALSE,TRUE,TRUE,382,20,-40,40,8.2,0.00412620072588973,401,0,TRUE,TRUE,FALSE,FALSE,1.65127161646693,0.692073110249378,1.39376125383063,0.377815388503738,"tail unresolved within search range","tail unresolved within search range"
2,0.9,"DML-IVQR","[-3,5]",-3,5,TRUE,TRUE,TRUE,TRUE,41,1,-3,5,24.6,0.153619914227551,401,0,FALSE,TRUE,FALSE,TRUE,9.44854196928029,8.481725354592,0.385393855375446,0.736548658697074,"no acceptance near search boundary","tail unresolved within search range"
