"replication","n","kappa","first_stage_F","partial_R2","beta_Z1","beta_Z2","R2_restricted","R2_unrestricted","RSS_restricted","RSS_unrestricted","nested_F","partial_R2_from_model_R2","cov_z1_d_latent","cov_z2_d_latent","status"
18,500,0.5,19.8652818872374,0.0754286280442344,0.0521131166766638,0.0453581011998923,0.0176767869061666,0.0917720791658385,64.6790285468225,59.8003781603018,19.8652818872374,0.0754286280442344,0.516772440023512,0.416941650010054,"OK"
18,500,0.25,4.50149170646016,0.0181510670580491,0.0264047889190032,0.0205535375153317,0.0222098191508776,0.039957754292172,63.6582316116945,62.5027667809138,4.50149170646016,0.0181510670580491,0.256242158013464,0.151674664499486,"OK"
18,500,0.1,0.610785845691733,0.00250208463167959,0.0110912617869793,0.0051882468546541,0.0240619943514226,0.026503873836828,64.1307940977659,63.9703334234365,0.610785845691733,0.00250208463167956,0.099653952195787,-0.00523674663407378,"OK"
19,500,1,135.358554573585,0.357279921330889,0.116180419509635,0.102432347350104,0.0105117070850219,0.364036006535521,66.368038016508,42.6560706150846,135.358554573585,0.357279921330889,1.00474468102078,0.877572917404186,"OK"
19,500,0.5,29.7576832994312,0.108899713047861,0.0625109783757981,0.0591889545776509,0.0115314843418366,0.119175422053855,66.8993455872305,59.6140260496914,29.7576832994312,0.108899713047861,0.536879710298304,0.426312074390192,"OK"
19,500,0.25,10.9841326913755,0.0431623479829937,0.0387568917707732,0.0389280767785453,0.0110480534959179,0.053733541549386,68.4255087381291,65.4721031190606,10.9841326913755,0.0431623479829937,0.292060423513408,0.200116791341124,"OK"
19,500,0.1,4.66392935707489,0.0187937439947774,0.0251839687807466,0.0263399354854035,0.0110880526493068,0.0296734106211926,68.9611319885584,67.6650941283754,4.66392935707489,0.0187937439947774,0.14403042811174,0.0643405544328329,"OK"
20,500,1,95.0764263139653,0.280812303883791,0.104247520884758,0.0870035242018251,0.0141740648654238,0.291006116938957,65.4546731834992,47.0741956068802,95.0764263139653,0.280812303883791,0.989655272744447,0.924511329683047,"OK"
20,500,0.5,21.6825794652034,0.0817647204010568,0.0582971622445235,0.0445654062102704,0.0423964414426489,0.120694628663148,65.3506215706166,60.0072462698599,21.6825794652034,0.0817647204010567,0.481198842217286,0.533907957474512,"OK"
20,500,0.25,5.70049760224356,0.0228751453431779,0.0327181879658428,0.0212600845326032,0.0424335043276733,0.0643379770919353,65.4989130816865,64.0006159251227,5.70049760224356,0.0228751453431779,0.238529264359371,0.302801259165486,"OK"
20,500,0.1,1.33275024851239,0.00544351295796665,0.0179118805117956,0.00711435378896404,0.0406054404456822,0.0458279171624187,65.776959198406,65.4189014686739,1.33275024851239,0.0054435129579666,0.0941361942780971,0.160393141278586,"OK"
21,500,1,79.4305755287471,0.245967961995213,0.10009719278283,0.0804561267000581,0.00945838837880919,0.253099889860727,66.4212580253385,50.0837565556878,79.4305755287471,0.245967961995213,0.941018458513701,0.870559978493548,"OK"
21,500,0.5,13.8831132594907,0.0539394876519887,0.051788562181223,0.0312306881329109,0.00738365338500047,0.0609248705564024,66.3925616257007,62.8113808677073,13.8831132594907,0.0539394876519887,0.552117239937382,0.431132654505656,"OK"
21,500,0.25,2.93269682912115,0.0119005995018376,0.0280091312983488,0.0081713419753701,0.00916086838375274,0.0209524480598663,67.7166573967819,66.9107885774997,2.93269682912115,0.0119005995018376,0.312394367330929,0.20214408258056,"OK"
21,500,0.1,0.733130766105427,0.00300176623788,0.0142752772549846,-0.00584417137939521,0.00992343583109934,0.0128954142343378,67.9892212056964,67.7851334569414,0.733130766105427,0.00300176623788005,0.163826562672812,0.0637810701824477,"OK"
22,500,1,94.9286511942274,0.280498270046725,0.0955364110252687,0.0950087329557135,0.0196546316573917,0.294639811525813,66.8359036005792,48.088548263607,94.9286511942274,0.280498270046725,0.990319486926763,1.00663944970822,"OK"
22,500,0.5,16.8270806132445,0.0646382257796824,0.0382669406743036,0.0527852188823163,0.0167795784610155,0.0803332020596469,65.9070927788924,61.6469752353678,16.8270806132445,0.0646382257796824,0.411852391790006,0.645187543857999,"OK"
22,500,0.25,4.12520952374887,0.0166590854448252,0.0158804561196326,0.0294266748315836,0.0186298504754543,0.0349785796493846,65.4815794033411,64.3907161769987,4.12520952374887,0.0166590854448252,0.14992486449642,0.414331874231371,"OK"
22,500,0.1,0.776082513209042,0.00317707122704932,0.00249584852688459,0.0148220543374721,0.019551698819574,0.0226666529068636,65.143215036096,64.9362504019673,0.776082513209042,0.00317707122704928,-0.00437628515257925,0.270576451696945,"OK"
23,500,1,98.9648441496514,0.28897811217786,0.0906925696589665,0.100952374072698,0.0180705721880091,0.301826684529005,67.6651850902452,48.1114276427006,98.9648441496514,0.28897811217786,1.08004294640621,1.01730191619687,"OK"
23,500,0.5,23.2256258406127,0.0870768444817209,0.0563762766055542,0.0486237561952667,0.00479921130365446,0.0914581556090521,67.8596538284611,61.9506493054568,23.2256258406127,0.0870768444817209,0.601744599791506,0.46836581128487,"OK"
23,500,0.25,6.24531858474583,0.0250067493562512,0.0320651977173133,0.0227885887060605,0.00343646694704347,0.0283572814356788,66.1016834156234,64.4486951864226,6.24531858474583,0.0250067493562511,0.339765375382508,0.210834140705694,"OK"
23,500,0.1,1.35167003094547,0.00552036271908883,0.0170367714649479,0.00697864981368984,0.00298040728002036,0.00848431706987285,65.612918486833,65.2507113777277,1.35167003094547,0.00552036271908882,0.180190522202997,0.0580861610412001,"OK"
24,500,1,108.897211300535,0.309018368501402,0.100696362066631,0.0975580621179653,0.0193284848865619,0.322373996522715,66.9189218592386,46.2397458044239,108.897211300535,0.309018368501402,1.04000713968612,1.02757385415332,"OK"
24,500,0.5,15.5564628683364,0.060050471993987,0.0519376987479477,0.0334872562065577,0.00691993220772336,0.0665548590064702,67.4567936113966,63.4059813158313,15.5564628683364,0.060050471993987,0.559552490021513,0.378159453905648,"OK"
24,500,0.25,3.78808671584958,0.0153185168204336,0.030031447572748,0.00755690561471738,0.00941819967609503,0.0245924436463721,66.7158145244733,65.6938271974913,3.78808671584958,0.0153185168204336,0.320546242092022,0.102498611435461,"OK"
24,500,0.1,1.22394399322732,0.00500132505735196,0.0164185963419747,-0.0070525474243009,0.0110919509485766,0.0160378015537146,66.3625687405894,66.0306679626768,1.22394399322732,0.00500132505735201,0.17727018028118,-0.0577691591990645,"OK"
25,500,1,112.815817734394,0.316617484039088,0.104461894024057,0.102078085607045,0.0183763501420503,0.329175560433341,62.2985518486382,42.5737411030437,112.815817734394,0.316617484039088,0.889840762366528,0.920413240712607,"OK"
25,500,0.5,20.1036124189879,0.0762645558401301,0.0529524218506049,0.0507821004255823,0.0118214539152381,0.0871844518231381,65.2360006635565,60.2608060481639,20.1036124189879,0.0762645558401301,0.365382668449529,0.408705259775806,"OK"
25,500,0.25,4.79348924358138,0.0193057387778657,0.028738069970983,0.0236019705201646,0.0126964715608848,0.0317570955753954,66.0120819792671,64.7376699683923,4.79348924358138,0.0193057387778656,0.126869337749385,0.173413171595591,"OK"
25,500,0.1,0.758991569330135,0.00310732294624538,0.012994761041801,0.00741947158315451,0.013875722726563,0.0169399293211844,66.1112474018344,65.9058184057778,0.758991569330135,0.00310732294624535,-0.0137587289035215,0.0343880588781528,"OK"
26,500,1,100.386268973539,0.291917061048062,0.101065128678046,0.0875094027637169,0.0230682595396808,0.308251302059426,64.7150924306233,45.8236528428221,100.386268973539,0.291917061048062,1.03465241029645,0.99318977162301,"OK"
